State,City,Type of Station,Sulfur dioxide(SO2)-Annual average(µg/m3),Sulfur dioxide(SO2)-Air Quality,Nitrogen dioxide(NO2)-Annual average(µg/m3),Nitrogen dioxide(NO2)-Air Quality,PM 10-Annual average(µg/m3),PM 10-Air Quality
Andhra Pradesh,Chitoor,RIRuO,4,Low,9,Low,39,Moderate
Andhra Pradesh,Guntur,RIRuO,2,Low,11,Low,81,High
Andhra Pradesh,Hydrabad,RIRuO,5,Low,24,Moderate,79,High
Andhra Pradesh,Kothagudem,RIRuO,2,Low,11,Low,62,High
Andhra Pradesh,Kurnool,RIRuO,4,Low,9,Low,85,High
Andhra Pradesh,Nalgonda,RIRuO,5,Low,23,Moderate,85,High
Andhra Pradesh,Nellore,RIRuO,2,Low,12,Low,65,High
Andhra Pradesh,Patencheru,RIRuO,11,Low,23,Moderate,76,High
Andhra Pradesh,Ramagundam,RIRuO,4,Low,12,Low,68,High
Andhra Pradesh,Tirupati,RIRuO,4,Low,9,Low,37,Moderate
Andhra Pradesh,Vijaywada,RIRuO,6,Low,14,Low,93,Critical
Andhra Pradesh,Warangal,RIRuO,4,Low,10,Low,52,Moderate
Andhra Pradesh,Vishakhapatnam,RIRuO,7,Low,16,Low,71,High
Assam,Bongaigaon,RIRuO,6,Low,15,Low,58,Moderate
Assam,Daranga,RIRuO,5,Low,14,Low,58,Moderate
Assam,Dibrugarh,RIRuO,6,Low,14,Low,38,Moderate
Assam,Golaghat,ES (Numaligarh),6,Low,15,Low,73,Critical
Assam,Guwahati,RIRuO,7,Low,15,Low,94,Critical
Assam,Lakhimpur,RIRuO,6,Low,15,Low,76,High
Assam,Nagaon,RIRuO,6,Low,14,Low,103,Critical
Assam,Nalbari,RIRuO,7,Low,16,Low,68,High
Assam,Sibsagar,RIRuO,6,Low,14,Low,59,Moderate
Assam,Silchar,RIRuO,6,Low,16,Low,81,High
Assam,Tezpur,RIRuO,6,Low,13,Low,68,High
Assam,Tinsukia,RIRuO,7,Low,16,Low,58,Moderate
Bihar,Patna,RIRuO,7,Low,40,Moderate,181,Critical
Chandigarh,Chandigarh,RIRuO,2,Low,16,Low,92,Critical
Chattisgarh,Bhillai,RIRuO,9,Low,22,Moderate,109,Critical
Chattisgarh,Korba,RIRuO,13,Low,21,Moderate,104,Critical
Chattisgarh,Raipur,RIRuO,15,Null,43,Null,289,Critical
Dadra and Nagar Haveli,Silvassa,RIRuO,7,Low,18,Low,39,Moderate
Daman and Diu,Daman,RIRuO,7,Low,18,Low,35,Moderate
Delhi,Delhi,RIRuO,5,Low,55,High,261,Critical
