cityCode,cityName,wellnessCentreCode,wellnessCentreName,wellnessCentreAddress,doctorCount,category,wellnessCentreContactNo,longitude,latitude
11,DELHI/NCR,AY19,Dev Nagar (Ayurvedic),"Double Storey Qtrs.No.141 Block No.12, (Opposite Mother Dairy) Dev Nagar, New Delhi-5.",3,ayurvedic,25860275,77.18402863,28.654448
11,DELHI/NCR,AY3,Delhi Cantt (Ayurvedic),"Sadar Bazar, Delhi Cantt,Near Geeta Asharam,New Delhi-10",2,ayurvedic,25692914,77.12076569,28.589346
11,DELHI/NCR,AY31,North Avenue (Ayur),"4-MP Flats, North Avenue, New Delhi",3,ayurvedic,23092794,77.19916534,28.618547
11,DELHI/NCR,AY40,AYURVEDIC WC JUNG PURA,"Q.No.46, 48, 50, 52, 56, Block No. 8, Jangpura, New Delhi",1,ayurvedic,011-24312213,77.24526215,28.582367
11,DELHI/NCR,AY57,"R.K.Puram-V,(Sec-12)","Qr. 810, 818 825, Sector XII, R.K. Puram, New Delhi",4,ayurvedic,011-26175146,77.17580414,28.573278
11,DELHI/NCR,AY60,Kingsway Camp Ayurvedic,"CGHS Wellness Centre KWC, New Police Line, Kingsway Camp, Delhi",2,ayurvedic,011-27459411,77.20196533,28.698978
11,DELHI/NCR,AY61,Janak Puri-I (Ayurvedic),"C-4A, Janak Puri ,Besides Janakpuri Superspeciality Hospital, New Delhi-58",7,ayurvedic,25534868,77.08933258,28.621658
11,DELHI/NCR,AY63,Sadiq Nagar,"CGHS Wellness Centre, Sadiq Nagar Sector-3 (Near G.K. I), N Delhi",2,ayurvedic,011-24623767,77.22678375,28.554974
11,DELHI/NCR,AY65,AYURVEDIC WC MEHRAULI BADARPUR,"CGHS Wellness Centre Building, Sector 1, M.B. Road, N. Delhi",3,ayurvedic,011-29564988,77.22093201,28.52314
11,DELHI/NCR,AY67,Laxmi Nagar Ayurvedic,"2nd Floor, CGHS Building Laxmi Nagar, H-Block, Vikas Marg (Near Metro Station),Laxmi Nagar, Delhi-110092",3,ayurvedic,011-22543108/ 22466544,77.27727509,28.630713
11,DELHI/NCR,AY73,AYURVEDIC WC GURGAON SEC-5,"409 / Sector-5, Gurgaon",2,ayurvedic,0124-4064496,77.02024841,28.48208
11,DELHI/NCR,AY76,Kalibari (Ayur),"CGHS Building, Kali bari Marg, New Delhi",6,ayurvedic,23363178,77.20005798,28.629055
11,DELHI/NCR,AY80,Paschim Vihar (Ayurvedic),"Near Tagore Garden Bus Stand, Delhi-27",4,ayurvedic,25171213,77.11227417,28.645285
11,DELHI/NCR,AY9,AYURVEDIC WC LODHI ROAD I(ALI GANJ),,9,ayurvedic,,77.21893311,28.583834
11,DELHI/NCR,AYHO,AYURVEDIC HOSPITAL LODHI ROAD,,3,ayurvedic,,77.2203598,28.582735
11,DELHI/NCR,D1,Gole Market,"CGHS Building, DIZ Area-II, Gole Market, New Delhi",8,alopathic,23743810,77.2027359,28.634432
11,DELHI/NCR,D10,Lodhi Road II,"Block 4-1, 3, 5, 7, Lodhi Road, New Delhi",5,alopathic,24611442,77.22511292,28.58217
11,DELHI/NCR,D11,LAJPATNAGAR,"CGHS Disp. Building, Lajpat Nagar Market, New Delhi.",9,alopathic,011-29816439,77.23910522,28.572266
11,DELHI/NCR,D13,Sarojini NagarI,"XY Block, 342-346, Sarojini Nagar, New Delhi",18,alopathic,011-24670555,77.20010376,28.577217
11,DELHI/NCR,D14,Sarojini Nagar-II,"I 165, 67, 69, 171, Sarojini Nagar, New Delhi",4,alopathic,011-24670666,77.19091797,28.576942
11,DELHI/NCR,D15,LAXMIBAI NAGAR,"CGHS Wellness Centre, Near Navyug School, Laxmibai Nagar, Ndelhi",4,alopathic,011-26874643,77.20652008,28.575865
11,DELHI/NCR,D16,Moti Bagh,"CGHS Wellness Centre, Near Begum Zaidi Market, Moti Bagh, N Delhi",5,alopathic,011-24670333,77.17815399,28.584455
11,DELHI/NCR,D17,Vikaspuri,"Block-QM, Vikaspuri Police Line, New Delhi-58",7,alopathic,28533441,77.06486511,28.63233
11,DELHI/NCR,D17A,VIKAS PURI,"Block-QM, Vikaspuri Police Line, New Delhi-58",5,alopathic,28533441,77.0651474,28.63281
11,DELHI/NCR,D18,Pusa Road,"CGHS Lab & Polyclinic No. 1,23-Pusa Road, New Delhi-5",3,alopathic,"28758071, 28754318",77.18953705,28.644466
11,DELHI/NCR,D19,Dev Nagar,"Double Storey Qtrs.No.107,109,111,Block No.12, Opp Mother Dairy, Karol Bagh, Dev Nagar, New Delhi-5",52,alopathic,25860275,77.18402863,28.654448
11,DELHI/NCR,D2,Pandara Road,"D-II/365-367, Pandara Road, New Delhi",8,alopathic,23385040 23073054,77.22740173,28.602995
11,DELHI/NCR,D21,Netaji Nagar,"CGHS Wellness Centre Building, Netaji Nagar, New Delhi",5,alopathic,011-24670222,77.18649292,28.572374
11,DELHI/NCR,D22A,Greater Noida,"P3 Shopping complex, First floor, Greater Noida-201310",4,alopathic,0120-2447126,77.52124023,28.45142
11,DELHI/NCR,D23,Chanakya Puri,"D-II/257, 259, Vinay Marg, New Delhi",6,alopathic,24673777 24122518,77.20863342,28.569805
11,DELHI/NCR,D24,KASTURBA NAGAR-I,"CGHS Polyclinic, Kasturba Nagar, New Delhi",7,alopathic,011-24622867,77.22444916,28.577652
11,DELHI/NCR,D26,Tilak Nagar,"Tilak Nagar Near Subzi Mandi, New Delhi-18",5,alopathic,25998900,77.09846497,28.638773
11,DELHI/NCR,D27,President Estate,"CGHS Wellness Centre Wing, President Estate, New Delhi",3,alopathic,23094777 23092990,77.19902039,28.6243
11,DELHI/NCR,D29,Nanak Pura,"CGHS Wellness Centre Building, Nanakpura, New Delhi",4,alopathic,011-24670444,77.16872406,28.58163
11,DELHI/NCR,D3,Delhi Cantt,"Sadar Bazar, Delhi Cantt,Near Geeta Ashram,New Delhi-10",4,alopathic,25692914,77.11991119,28.590773
11,DELHI/NCR,D31,North Avenue,"31, North Avenue, New Delhi-1",16,alopathic,23094420,77.19965363,28.622715
11,DELHI/NCR,D32,South Avenue,"153, South Avenue , New Delhi-11",9,alopathic,23013490,77.19973755,28.60824
11,DELHI/NCR,D33A,Jharoda Kalan,"Delhi Police Training College, Jharoda Kalan, Najafgarh, Delhi-72",5,alopathic,25315364,76.96034241,28.639637
11,DELHI/NCR,D34,Telegraph Lane,"18-E, Telegraph Lane, New Delhi",18,alopathic,23326601 23318949,77.22183228,28.621157
11,DELHI/NCR,D35,SAROJINI NAGAR MARKET,,3,alopathic,,77.19536591,28.578398
11,DELHI/NCR,D36A,Dwarka,"Palam Dabri Road,Palam New Delhi-45 (Near Dwaraka Fly over)",8,alopathic,25056722,77.08275604,28.59262
